dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.763553,8.115354,7.470828,8.990774,3.597398,-68.657563,5.916008
0.020000,10.930933,8.048791,7.650957,9.006455,0.784020,-140.668898,5.893303
0.020000,11.096549,7.978508,7.830870,8.995638,-0.540842,-66.243076,5.870351
0.020000,11.260357,7.904493,8.010623,8.987654,-0.399172,7.083501,5.847216
0.020000,11.422311,7.826741,8.190273,8.982533,-0.256079,7.154621,5.823964
0.020000,11.578276,7.747301,8.365305,8.751574,-11.547940,-564.593023,5.798268
0.020000,11.732665,7.663113,8.541156,8.792535,2.048052,679.799602,5.770675
0.020000,11.889034,7.572731,8.721766,9.030542,11.900330,492.613863,5.748521
0.020000,12.047730,7.476848,8.907179,9.270631,12.004463,5.206679,5.731852
0.020000,12.209158,7.376225,9.097400,9.511041,12.020496,0.801666,5.720677
0.020000,12.373785,7.271672,9.292421,9.751060,12.000943,-0.977651,5.714987
0.020000,12.542141,7.164055,9.492235,9.990683,11.981172,-0.988552,5.714774
0.020000,12.714814,7.054294,9.696840,10.230265,11.979110,-0.103134,5.720037
0.020000,12.892431,6.943379,9.906244,10.470173,11.995412,0.815104,5.730785
0.020000,13.075639,6.832383,10.120452,10.710444,12.013503,0.904577,5.747027
0.020000,13.265075,6.722479,10.339461,10.950432,11.999403,-0.705004,5.768756
0.020000,13.461317,6.614953,10.563230,11.188471,11.901959,-4.872225,5.795929
0.020000,13.664836,6.511218,10.791662,11.421567,11.654819,-12.356974,5.828433
0.020000,13.834387,6.427667,10.980681,9.450952,-98.530781,-5509.280034,5.820871
0.020000,14.008373,6.340237,11.175399,9.735905,14.247670,5638.922573,5.814835
0.020000,14.184929,6.250596,11.373409,9.900485,8.228993,-300.933861,5.812560
0.020000,14.364372,6.159401,11.574695,10.064321,8.191835,-1.857883,5.814031
0.020000,14.547053,6.067328,11.779267,10.228621,8.214970,1.156723,5.819257
0.020000,14.733360,5.975086,11.987158,10.394551,8.296513,4.077158,5.828276
0.020000,14.923703,5.883426,12.198422,10.563156,8.430257,6.687223,5.841149
0.020000,15.118508,5.793153,12.413127,10.735248,8.604562,8.715234,5.857958
0.020000,15.318199,5.705143,12.631352,10.911272,8.801236,9.833730,5.878792
0.020000,15.523177,5.620351,12.853175,11.091154,8.994099,9.643113,5.903739
0.020000,15.733789,5.539824,13.078657,11.274107,9.147626,7.676354,5.932870
0.020000,15.950298,5.464709,13.307826,11.458432,9.216252,3.431293,5.966218
0.020000,16.172468,5.396342,13.540277,11.622554,8.206130,-50.506096,6.003686
0.020000,16.399093,5.336259,13.774731,11.722711,5.007839,-159.914515,6.044920
0.020000,16.628621,5.285827,14.009735,11.750189,1.373868,-181.698570,6.089378
0.020000,16.859951,5.246010,14.244466,11.736579,-0.680476,-102.717210,6.136495
0.020000,17.092142,5.217479,14.478404,11.696857,-1.986095,-65.280961,6.185675
0.020000,17.324087,5.200670,14.710957,11.627666,-3.459558,-73.673149,6.236244
0.020000,17.554579,5.195739,14.941501,11.527213,-5.022658,-78.154969,0.004300
0.020000,17.782389,5.202548,15.169414,11.395616,-6.579824,-77.858294,0.055501
0.020000,18.006354,5.220676,15.394111,11.234883,-8.036666,-72.842143,0.105997
0.020000,18.225445,5.249466,15.615086,11.048724,-9.307952,-63.564257,0.155203
0.020000,18.422821,5.284534,15.815553,10.023344,-51.269002,-2098.052497,0.191740
0.020000,18.612567,5.323716,16.009302,9.687457,-16.794321,1723.734018,0.215748
0.020000,18.799736,5.367187,16.201453,9.607563,-3.994711,639.980499,0.240899
0.020000,18.984211,5.415068,16.392040,9.529348,-3.910740,4.198548,0.267232
0.020000,19.165853,5.467474,16.581091,9.452533,-3.840776,3.498214,0.294778
0.020000,19.344503,5.524513,16.768626,9.376747,-3.789294,2.574107,0.323561
0.020000,19.519980,5.586280,16.954656,9.301521,-3.761327,1.398320,0.353593
0.020000,19.692077,5.652854,17.139181,9.226273,-3.762358,-0.051524,0.384874
0.020000,19.860566,5.724289,17.322188,9.150311,-3.798117,-1.787941,0.417388
0.020000,20.025190,5.800612,17.503644,9.072829,-3.874097,-3.799006,0.451100
0.020000,20.185676,5.881812,17.683503,8.992922,-3.995347,-6.062533,0.485955
0.020000,20.341728,5.967836,17.861694,8.909581,-4.167054,-8.585326,0.521873
0.020000,20.493039,6.058579,18.038129,8.821758,-4.391165,-11.205570,0.558753
0.020000,20.639296,6.153883,18.212698,8.728412,-4.667311,-13.807264,0.596469
0.020000,20.780190,6.253531,18.385269,8.628551,-4.993011,-16.285028,0.634871
0.020000,20.915423,6.357246,18.555694,8.521252,-5.364947,-18.596768,0.673789
0.020000,21.044722,6.464691,18.723809,8.405778,-5.773741,-20.439745,0.713036
0.020000,21.167852,6.575476,18.889442,8.281622,-6.207780,-21.701912,0.752413
0.020000,21.284620,6.689161,19.052412,8.148494,-6.656396,-22.430799,0.791716
0.020000,21.394889,6.805273,19.212540,8.006422,-7.103617,-22.361075,0.830740
0.020000,21.498582,6.923309,19.369654,7.855693,-7.536458,-21.642023,0.869286
0.020000,21.595684,7.042756,19.523591,7.696841,-7.942594,-20.306816,0.907169
0.020000,21.686243,7.163102,19.674203,7.530633,-8.310358,-18.388193,0.944221
0.020000,21.770368,7.283846,19.821363,7.357983,-8.632500,-16.107106,0.980294
0.020000,21.848220,7.404509,19.964962,7.179924,-8.902962,-13.523104,1.015266
0.020000,21.920007,7.524645,20.104912,6.997517,-9.120354,-10.869575,1.049035
0.020000,21.985977,7.643844,20.241148,6.811818,-9.284973,-8.230958,1.081528
0.020000,22.046404,7.761737,20.373625,6.623842,-9.398805,-5.691631,1.112692
0.020000,22.101586,7.877995,20.502315,6.434500,-9.467089,-3.414200,1.142495
0.020000,22.151832,7.992334,20.627207,6.244599,-9.495057,-1.398365,1.170926
0.020000,22.197456,8.104507,20.748303,6.054819,-9.488990,0.303349,1.197988
0.020000,22.238774,8.214306,20.865619,5.865800,-9.450928,1.903107,1.223696
0.020000,22.276094,8.321557,20.979178,5.677907,-9.394667,2.813042,1.248078
0.020000,22.309717,8.426115,21.089009,5.491559,-9.317377,3.864467,1.271169
0.020000,22.339933,8.527863,21.195149,5.307019,-9.227032,4.517254,1.293009
0.020000,22.367016,8.626709,21.297638,5.124457,-9.128101,4.946572,1.313645
0.020000,22.391228,8.722578,21.396517,4.943950,-9.025340,5.138020,1.333123
0.020000,22.412814,8.815414,21.491830,4.765624,-8.916283,5.452877,1.351493
0.020000,22.432003,8.905175,21.583619,4.589449,-8.808745,5.376891,1.368805
0.020000,22.449011,8.991829,21.671927,4.415401,-8.702436,5.315481,1.385107
