dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.643065,16.931038,8.467718,10.868933,0.789881,-92.659350,0.314671
0.020000,11.849344,17.000483,8.685372,10.882732,0.689945,-4.996769,0.334852
0.020000,12.053540,17.074134,8.902445,10.853640,-1.454582,-107.226384,0.358813
0.020000,12.260169,17.154624,9.124197,11.087615,11.698752,657.666710,0.383679
0.020000,12.462528,17.238965,9.343429,10.961590,-6.301266,-900.000917,0.405663
0.020000,12.660763,17.326403,9.560092,10.833123,-6.423323,-6.102837,0.424710
0.020000,12.855076,17.416221,9.774158,10.703341,-6.489132,-3.290427,0.440789
0.020000,13.045707,17.507737,9.985619,10.573030,-6.515530,-1.319915,0.453888
0.020000,13.232927,17.600305,10.194473,10.442686,-6.517191,-0.083031,0.464008
0.020000,13.417017,17.693312,10.400724,10.312559,-6.506346,0.542252,0.471153
0.020000,13.598266,17.786176,10.604378,10.182711,-6.492389,0.697835,0.475329
0.020000,13.776960,17.878340,10.805440,10.053073,-6.481934,0.522729,0.476542
0.020000,13.953374,17.969270,11.003909,9.923496,-6.478822,0.155593,0.474794
0.020000,14.127772,18.058449,11.199786,9.793813,-6.484160,-0.266865,0.470081
0.020000,14.300398,18.145378,11.393063,9.663886,-6.496343,-0.609148,0.462399
0.020000,14.471477,18.229570,11.583737,9.533665,-6.511049,-0.735339,0.451741
0.020000,14.641211,18.310556,11.771802,9.403242,-6.521171,-0.506052,0.438102
0.020000,14.809781,18.387878,11.957260,9.272907,-6.516742,0.221430,0.421485
0.020000,14.977346,18.461099,12.140124,9.143205,-6.485104,1.581914,0.401905
0.020000,15.144044,18.529800,12.320424,9.014984,-6.411045,3.702908,0.379395
0.020000,15.309995,18.593588,12.498212,8.889430,-6.277682,6.668157,0.354016
0.020000,15.475683,18.652306,12.673997,8.789228,-5.010114,63.378417,0.329720
0.020000,15.655669,18.712726,12.863853,9.492800,35.178620,2009.436689,0.318128
0.020000,15.836838,18.771276,13.054248,9.519782,1.349080,-1691.476993,0.307153
0.020000,16.019143,18.828054,13.245190,9.547078,1.364796,0.785800,0.296801
0.020000,16.202536,18.883157,13.436682,9.574622,1.377219,0.621129,0.287079
0.020000,16.386780,18.936634,13.628531,9.592422,0.890006,-24.360639,0.278000
0.020000,16.571034,18.988371,13.819911,9.569001,-1.171066,-103.053585,0.269600
0.020000,16.754221,19.038223,14.009759,9.492423,-3.828908,-132.892105,0.261912
0.020000,16.935856,19.086225,14.197630,9.393545,-4.943906,-55.749899,0.254932
0.020000,17.115870,19.132523,14.383503,9.293637,-4.995379,-2.573640,0.248637
0.020000,17.294199,19.177255,14.567357,9.192693,-5.047229,-2.592520,0.243003
0.020000,17.470782,19.220554,14.749171,9.090711,-5.099109,-2.593985,0.238006
0.020000,17.645563,19.262542,14.928925,8.987696,-5.150743,-2.581715,0.233623
0.020000,17.818489,19.303339,15.106598,8.883658,-5.201906,-2.558140,0.229831
0.020000,17.989511,19.343053,15.282170,8.778609,-5.252438,-2.526617,0.226605
0.020000,18.158582,19.381789,15.455622,8.672564,-5.302218,-2.489002,0.223925
0.020000,18.303979,19.413762,15.604493,7.443561,-61.450171,-2807.397639,0.205147
0.020000,18.449484,19.442137,15.752738,7.412284,-1.563843,2994.316398,0.179600
0.020000,18.591424,19.465930,15.896659,7.196035,-10.812461,-462.430865,0.152081
0.020000,18.729533,19.485042,16.036084,6.971264,-11.238567,-21.305302,0.122393
0.020000,18.863512,19.499387,16.170829,6.737209,-11.702737,-23.208523,0.090325
0.020000,18.993032,19.508901,16.300698,6.493461,-12.187405,-24.233410,0.055655
0.020000,19.117738,19.513552,16.425491,6.239666,-12.689749,-25.117185,0.018153
0.020000,19.237258,19.513348,16.545011,5.976012,-13.182680,-24.646543,6.260779
0.020000,19.351212,19.508346,16.659075,5.703180,-13.641616,-22.946822,6.216954
0.020000,19.459237,19.498667,16.767532,5.422863,-14.015829,-18.710651,6.169690
0.020000,19.561007,19.484495,16.870285,5.137623,-14.262006,-12.308836,6.118877
0.020000,19.656277,19.466080,16.967318,4.851671,-14.297583,-1.778872,6.064496
0.020000,19.744912,19.443727,17.058727,4.570465,-14.060312,11.863573,6.006658
0.020000,19.826925,19.417774,17.144750,4.301119,-13.467295,29.650858,5.945633
0.020000,19.902506,19.388553,17.225782,4.051620,-12.474976,49.615919,5.881873
0.020000,19.972014,19.356355,17.302386,3.830169,-11.072535,70.122078,5.816020
0.020000,20.035957,19.321388,17.375265,3.643988,-9.309066,88.173456,5.748881
0.020000,20.094938,19.283761,17.445226,3.498035,-7.297662,100.570178,5.681373
0.020000,20.149577,19.243483,17.513106,3.394023,-5.200597,104.853252,5.614455
0.020000,20.200451,19.200500,17.579708,3.330064,-3.197939,100.132912,5.549043
0.020000,20.248036,19.154736,17.645728,3.301022,-1.452086,87.292647,5.485935
0.020000,20.292688,19.106145,17.711719,3.299564,-0.072904,68.959076,5.425760
0.020000,20.334646,19.054749,17.778067,3.317366,0.890077,48.149079,5.368960
0.020000,20.374056,19.000656,17.844994,3.346363,1.449868,27.989567,5.315789
0.020000,20.411002,18.944058,17.912584,3.379493,1.656517,10.332436,5.266344
0.020000,20.445535,18.885219,17.980808,3.411213,1.585994,-3.526144,5.220591
0.020000,20.477696,18.824456,18.049557,3.437457,1.312212,-13.689127,5.178405
0.020000,20.507528,18.762115,18.118669,3.455581,0.906196,-20.300781,5.139600
0.020000,20.535089,18.698552,18.187950,3.464029,0.422392,-24.190220,5.103957
0.020000,20.560450,18.634120,18.257193,3.462182,-0.092334,-25.736266,5.071239
0.020000,20.583696,18.569155,18.326192,3.449929,-0.612686,-26.017638,5.041209
0.020000,20.604926,18.503973,18.394743,3.427580,-1.117456,-25.238481,5.013637
0.020000,20.624244,18.438864,18.462658,3.395753,-1.591346,-23.694488,4.988305
0.020000,20.641762,18.374089,18.529760,3.355087,-2.033309,-22.098172,4.965011
0.020000,20.657595,18.309885,18.595887,3.306357,-2.436458,-20.157462,4.943572
0.020000,20.671857,18.246464,18.660892,3.250249,-2.805412,-18.447702,4.923818
0.020000,20.684662,18.184012,18.724644,3.187569,-3.134024,-16.430554,4.905600
0.020000,20.696119,18.122695,18.787022,3.118929,-3.431964,-14.897044,4.888782
0.020000,20.706336,18.062659,18.847921,3.044957,-3.698628,-13.333159,4.873240
0.020000,20.715412,18.004033,18.907245,2.966190,-3.938355,-11.986381,4.858868
0.020000,20.723446,17.946931,18.964910,2.883223,-4.148344,-10.499423,4.845567
0.020000,20.730528,17.891453,19.020838,2.796410,-4.340636,-9.614604,4.833250
0.020000,20.736745,17.837687,19.074962,2.706222,-4.509426,-8.439520,4.821840
0.020000,20.742177,17.785711,19.127222,2.612984,-4.661891,-7.623233,4.811267
0.020000,20.746900,17.735592,19.177563,2.517033,-4.797547,-6.782812,4.801469
0.020000,20.750983,17.687391,19.225936,2.418669,-4.918217,-6.033490,4.792391
0.020000,20.754493,17.641162,19.272298,2.318096,-5.028608,-5.519539,4.783984
0.020000,20.757490,17.596951,19.316610,2.215627,-5.123491,-4.744170,4.776202
0.020000,20.760030,17.554800,19.358838,2.111360,-5.213320,-4.491433,4.769005
0.020000,20.762166,17.514747,19.398948,2.005534,-5.291295,-3.898766,4.762359
0.020000,20.763946,17.476821,19.436915,1.898360,-5.358727,-3.371600,4.756230
0.020000,20.765413,17.441054,19.472713,1.789860,-5.424967,-3.312004,4.750591
0.020000,20.766610,17.407469,19.506319,1.680327,-5.476646,-2.583940,4.745416
0.020000,20.767572,17.376090,19.537713,1.569691,-5.531825,-2.758958,4.740680
0.020000,20.768334,17.346936,19.566876,1.458168,-5.576157,-2.216582,4.736366
0.020000,20.768926,17.320025,19.593795,1.345919,-5.612447,-1.814498,4.732452
0.020000,20.769377,17.295371,19.618453,1.232896,-5.651129,-1.934119,4.728925
0.020000,20.769712,17.272987,19.640839,1.119311,-5.679240,-1.405558,4.725768
0.020000,20.769953,17.252887,19.660940,1.005075,-5.711800,-1.627972,4.722970
0.020000,20.770119,17.235079,19.678749,0.890414,-5.733052,-1.062595,4.720519
0.020000,20.770229,17.219573,19.694255,0.775336,-5.753914,-1.043133,4.718407
0.020000,20.770297,17.206375,19.707454,0.659902,-5.771725,-0.890523,4.716624
0.020000,20.770335,17.195492,19.718337,0.544175,-5.786352,-0.731384,4.715164
0.020000,20.770354,17.186928,19.726901,0.428198,-5.798814,-0.623091,4.714022
0.020000,20.770361,17.180687,19.733142,0.312046,-5.807621,-0.440342,4.713194
0.020000,20.770364,17.176773,19.737056,0.195720,-5.816300,-0.433935,4.712676
0.020000,20.770364,17.174999,19.738829,0.088657,-5.353138,23.158085,4.712441
0.020000,20.770364,17.174602,19.739226,0.019853,-3.440204,95.646704,4.712389
0.020000,20.770364,17.174602,19.739226,0.000000,-0.992655,122.377428,4.712389
