dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.798662,9.581486,8.553310,11.003924,0.541878,-95.880196,5.870351
0.020000,11.999363,9.490800,8.773548,11.011908,0.399245,-7.131654,5.847216
0.020000,12.197998,9.395438,8.993888,11.017011,0.255129,-7.205790,5.823964
0.020000,12.394013,9.295550,9.213887,10.999932,-0.853964,-55.454639,5.798268
0.020000,12.590806,9.188267,9.438023,11.206829,10.344888,559.942569,5.770675
0.020000,12.780751,9.078500,9.657404,10.969049,-11.889036,-1111.696172,5.748521
0.020000,12.964422,8.967545,9.871987,10.729137,-11.995580,-5.327222,5.731852
0.020000,13.142450,8.856585,10.081764,10.488855,-12.014118,-0.926893,5.720677
0.020000,13.315485,8.746698,10.286743,10.248913,-11.997083,0.851766,5.714987
0.020000,13.484156,8.638880,10.486929,10.009317,-11.979826,0.862855,5.714774
0.020000,13.649053,8.534057,10.682323,9.769711,-11.980262,-0.021811,5.720037
0.020000,13.810712,8.433098,10.872918,9.529730,-11.999073,-0.940545,5.730785
0.020000,13.969605,8.336819,11.058704,9.289336,-12.019690,-1.030832,5.747027
0.020000,14.126142,8.245982,11.239688,9.049174,-12.008091,0.579925,5.768756
0.020000,14.280673,8.161290,11.415906,8.810913,-11.913059,4.751618,5.795929
0.020000,14.433505,8.083365,11.587457,8.577551,-11.668123,12.246791,5.828433
0.020000,14.614923,7.993957,11.789710,10.112638,76.754345,4421.123380,5.820871
0.020000,14.798349,7.901787,11.994991,10.264065,7.571382,-3459.148156,5.814835
0.020000,14.978455,7.810345,12.196981,10.099512,-8.227649,-789.951529,5.812560
0.020000,15.155604,7.720314,12.395695,9.935677,-8.191741,1.795422,5.814031
0.020000,15.330117,7.632355,12.591122,9.771358,-8.215969,-1.211410,5.819257
0.020000,15.502277,7.547112,12.783230,9.605382,-8.298789,-4.141029,5.828276
0.020000,15.672319,7.465221,12.971964,9.436706,-8.433812,-6.751109,5.841149
0.020000,15.840432,7.387307,13.157254,9.264517,-8.609430,-8.780927,5.857958
0.020000,16.006757,7.313990,13.339022,9.088367,-8.807539,-9.905461,5.878792
0.020000,16.171388,7.245873,13.517188,8.908326,-9.002007,-9.723377,5.903739
0.020000,16.334378,7.183538,13.691692,8.725183,-9.157177,-7.758487,5.932870
0.020000,16.495749,7.127533,13.862505,8.540642,-9.227053,-3.493809,5.966218
0.020000,16.655248,7.078431,14.029390,8.344284,-9.817907,-29.542735,6.003686
0.020000,16.812122,7.036820,14.191690,8.114973,-11.465553,-82.382267,6.044920
0.020000,16.965665,7.003064,14.348900,7.860489,-12.724177,-62.931196,6.089378
0.020000,17.115739,6.977215,14.501183,7.614180,-12.315463,20.435688,6.136495
0.020000,17.262514,6.959166,14.649064,7.394028,-11.007618,65.392234,6.185675
0.020000,17.406204,6.948742,14.793132,7.203395,-9.531619,73.799961,6.236244
0.020000,17.547053,6.945723,14.934013,7.044082,-7.965652,78.298351,0.004300
0.020000,17.685311,6.949853,15.072333,6.915982,-6.405003,78.032455,0.055501
0.020000,17.821207,6.960855,15.208674,6.817032,-4.947488,72.875738,0.105997
0.020000,17.954929,6.978431,15.343545,6.743589,-3.672169,63.765940,0.155203
0.020000,18.089329,7.002464,15.480077,6.826586,4.149857,391.101298,0.191740
0.020000,18.237930,7.033145,15.631813,7.586788,38.010083,1693.011324,0.215748
0.020000,18.382228,7.066654,15.779950,7.406871,-8.995848,-2350.296560,0.240899
0.020000,18.522101,7.102953,15.924456,7.225300,-9.078559,-4.135536,0.267232
0.020000,18.657430,7.141990,16.065303,7.042341,-9.147920,-3.468076,0.294778
0.020000,18.788100,7.183704,16.202470,6.858356,-9.199264,-2.567176,0.323561
0.020000,18.914007,7.228016,16.335946,6.673809,-9.227358,-1.404721,0.353593
0.020000,19.035054,7.274834,16.465732,6.489278,-9.226549,0.040447,0.384874
0.020000,19.151161,7.324053,16.591841,6.305458,-9.190988,1.778046,0.417388
0.020000,19.262268,7.375556,16.714304,6.123161,-9.114836,3.807643,0.451100
0.020000,19.368334,7.429214,16.833170,5.943304,-8.992842,6.099701,0.485955
